posts,region,province
Gusto ko magtuon ug painting. 👌,III,Bulacan
"Ang bata ko laging inuubo, ano gagawin ko? 🥳",CAR,Apayao
"Baka may COVID ako, hirap ako huminga. 🙏",XIII,Agusan del Norte
Anong gamot para sa sipon? 😎,CAR,Mountain Province
Lami kaayo ang pagkaon sa among dinner. 😜,VI,Negros Occidental
May bagong coffee shop malapit sa amin. 👍,V,Masbate
"Sige ko ubo ug sipon, unsaon paglikay ani? 🙏",XIII,Dinagat Islands
Paano maiiwasan ang hika? 😀,XI,Davao Occidental
"Ang bata ko laging inuubo, ano gagawin ko? 😎",VIII,Leyte
Any free check-ups for breathing issues?,I,Ilocos Sur
Paano maiiwasan ang hika? 🥳,CAR,Mountain Province
"Di ako makahinga, kailangan ko ng payo. 😷",BARMM,Maguindanao del Norte
Gusto ko magpa-check up kay sige ko ginhawa ug bug-at. 😢,XII,South Cotabato
There's a new coffee shop near us.,BARMM,Sulu
"Baka may COVID ako, hirap ako huminga. 🙄",II,Batanes
Paano maiiwasan ang hika? 👍,V,Camarines Sur
Gusto ko magtuon ug painting. 👍,III,Bulacan
"Ang akong bata pirming ubo, unsaon ni? 💪",VII,Siquijor
"My child always coughing, what to do? 😎",VII,Bohol
What's the symptoms of TB? 😢,IVA,Cavite
"Basin naay COVID, kay naglisud ko ug ginhawa. 💪",VI,Guimaras
Sino gusto mag hiking? 👍,CAR,Apayao
Sino gusto mag hiking? 🙏,VIII,Eastern Samar
"Ubong sipon ako lagi, paano iiwasan ito? 😎",XIII,Agusan del Sur
"Ubong sipon ako lagi, paano iiwasan ito? 😴",VIII,Biliran
Naay bag-ong coffee shop duol namo. 👍,VIII,Samar
Ano ang sintomas ng TB? 🥳,VI,Guimaras
Naay lain nga pamaagi para maagwanta ang ubo? 😴,VIII,Samar
Need tips for managing chronic cough.,X,Camiguin
Nindot kaayo ang view sa bukid. 🤧,XIII,Agusan del Sur
Need tips for managing chronic cough. 💪,BARMM,Sulu
The movie at the cinema was great.,VII,Negros Oriental
"Constant cough and cold, how to avoid? 🥳",XIII,Agusan del Sur
Gusto ko magtuon ug painting. 😀,IVB,Oriental Mindoro
Naay lain nga pamaagi para maagwanta ang ubo? 😎,BARMM,Basilan
Ano ang dapat gawin kung may hirap sa paghinga? 🙏,I,Pangasinan
"Sige ko ubo ug sipon, unsaon paglikay ani? 😀",II,Cagayan
"Basin naay COVID, kay naglisud ko ug ginhawa. 😜",II,Batanes
Gusto kong matuto mag baking. 🥳,XII,South Cotabato
"Ang bata ko laging inuubo, ano gagawin ko? 😴",IVA,Quezon
"May hika anak ko, sino may kilalang magaling na doktor? 🙏",CAR,Mountain Province
"Always asthmatic, any good medicine? 😢",BARMM,Maguindanao del Sur
Enjoy ako sa panonood ng sine. 😎,IX,Zamboanga Sibugay
"Gipanghapo akong anak, kinsay kahibaw unsay maayo nga doktor? 👍",V,Camarines Norte
Nindot kaayo ang view sa bukid. 😢,V,Camarines Norte
"Laging inuubo ang anak ko, anong pwedeng gawin? 🥳",XIII,Agusan del Norte
Sino ang pwedeng lapitan para sa TB? 🥳,XI,Davao Oriental
"Baka may COVID ako, hirap ako huminga. 😴",IVA,Rizal
"Sige ko ubo ug sipon, unsaon paglikay ani? 🥳",III,Bulacan
"Pirme ko hubak, unsay maayo nga tambal? 👌",NCR,Metro Manila
"May hika anak ko, sino may kilalang magaling na doktor? 😀",IVB,Romblon
Paano maiiwasan ang hika? 😷,III,Zambales
"Di ko kaginhawa, kinahanglan ko ug advice. 🤧",VI,Guimaras
Who wants to go hiking?,IX,Zamboanga del Sur
"Sige ko ubo ug sipon, unsaon paglikay ani? 💪",III,Bulacan
Saan may libreng konsulta para sa may hika? 😢,IX,Zamboanga Sibugay
"Di ko kaginhawa, kinahanglan ko ug advice. 🥳",BARMM,Tawi-tawi
Where can I get a check-up for breathing problems?,VI,Guimaras
Ganahan kaayo ko sa akong bag-ong sapatos. 🙄,II,Nueva Vizcaya
Mag outing ta puhon. 🙄,NCR,Metro Manila
Ang ganda ng pelikula sa sinehan. 🙄,CAR,Ifugao
Ano ang dapat gawin kung may hirap sa paghinga? 😴,VIII,Eastern Samar
"Di ko kaginhawa, kinahanglan ko ug advice.",CAR,Mountain Province
Naay lain nga pamaagi para maagwanta ang ubo? 🤔,CAR,Kalinga
"Basin naay COVID, kay naglisud ko ug ginhawa. 😴",XII,Sarangani
Naa moy tambag para sa mga naa sa gipanghapo? 🤔,I,La Union
Mag outing tayo soon. 🥳,BARMM,Maguindanao del Norte
Masaya ang bakasyon namin sa beach. 👌,III,Tarlac
Naay bag-ong coffee shop duol namo. 😜,II,Batanes
"Basin naay COVID, kay naglisud ko ug ginhawa. 👌",XII,Sarangani
Nalingaw ko sa among outing gahapon. 👌,IVB,Romblon
May libreng check-up ba para sa hirap huminga? 😢,XI,Davao de Oro
Unsaon pagpakalma sa hika? 😀,V,Camarines Norte
"Ang bata ko laging inuubo, ano gagawin ko? 😜",XIII,Dinagat Islands
Naa moy tambag para sa mga naa sa gipanghapo? 😎,II,Batanes
"Ang akong bata pirming ubo, unsaon ni? 😀",CAR,Benguet
Ano ang dapat gawin kung may hirap sa paghinga? 💪,XII,Sultan Kudarat
"Always asthmatic, any good medicine? 😴",II,Cagayan
Naa moy tambag para sa mga naa sa gipanghapo? 💪,I,La Union
"Always asthmatic, any good medicine? 💪",VI,Antique
"Naglisud ko ug ginhawa, unsay maayo nga tambal? 🙏",CAR,Apayao
Unsaon pagpakalma sa hika? 🙄,IX,Zamboanga del Sur
I miss the province. 🤔,III,Tarlac
Gusto kong matuto mag painting. 🤔,XI,Davao Oriental
"Laging inuubo ang anak ko, anong pwedeng gawin? 😴",II,Nueva Vizcaya
Gusto ko magtuon ug painting. 🙏,VI,Aklan
"Laging inuubo ang anak ko, anong pwedeng gawin? 🤧",VI,Antique
"Gipanghapo akong anak, kinsay kahibaw unsay maayo nga doktor? 🤔",XII,Cotabato
Anong gamot para sa sipon? 😴,XII,South Cotabato
Gusto ko yung bagong sapatos ko. 🙏,XI,Davao Occidental
"Basin naay COVID, kay naglisud ko ug ginhawa. 🙄",IVB,Romblon
Lagi akong nagjo-jogging tuwing umaga. 🥳,VIII,Biliran
Kinsay ganahan mokaon ug lechon?,I,Pangasinan
Pirmi ko mag jogging sa buntag. 😢,VI,Negros Occidental
Any effective meds for colds?,XIII,Surigao del Sur
"Basin naay COVID, kay naglisud ko ug ginhawa. 😎",X,Lanao del Norte
Naa moy tambag para sa mga naa sa gipanghapo? 🙄,BARMM,Lanao del Sur
May libreng check-up ba para sa hirap huminga? 😷,VI,Antique
Ano ang dapat gawin kung may hirap sa paghinga? 😎,IVB,Palawan
"Hirap ako huminga, anong gamot ang pwede? 🙏",BARMM,Maguindanao del Sur
Ang ganda ng pelikula sa sinehan. 👍,I,La Union
Naay lain nga pamaagi para maagwanta ang ubo? 🙄,X,Misamis Oriental
Gusto ko magpa-check up kay sige ko ginhawa ug bug-at. 👌,I,Ilocos Sur
Masaya ang bakasyon namin sa beach. 😴,V,Camarines Norte
Ano ang dapat gawin kung may hirap sa paghinga? 😢,IVA,Rizal
Unsa ang simptomas sa TB? 🤔,NCR,Metro Manila
"Might have COVID, struggling to breathe. 🙄",XI,Davao Oriental
"My child has asthma, anyone know a good doctor? 🥳",CAR,Kalinga
Mag outing ta puhon. 😷,I,Ilocos Sur
Naa bay free check-up para sa mga naglisud ug ginhawa? 👌,XIII,Agusan del Sur
Lami kaayo ang pagkaon sa among dinner. 👌,VII,Negros Oriental
Unsaon pagpakalma sa hika? 💪,VIII,Eastern Samar
Mag outing ta puhon. 👌,IX,Zamboanga del Norte
May libreng check-up ba para sa hirap huminga? 😴,X,Bukidnon
Kinsay ganahan maghike? 😴,BARMM,Basilan
"I can't breathe, need advice. 🤧",BARMM,Tawi-tawi
"My child has asthma, anyone know a good doctor? 🤧",BARMM,Lanao del Sur
Paano maiiwasan ang hika? 🤔,II,Batanes
Naa moy tambag para sa mga naa sa gipanghapo? 👍,VI,Negros Occidental
Sino gusto mag hiking? 🤔,CAR,Apayao
Ang ganda ng tanawin sa bundok. 🙄,V,Catanduanes
Nalingaw ko sa pagtan-aw sa salida. 🙏,VIII,Leyte
Kinsay ganahan mokaon ug lechon? 🙄,III,Pampanga
Anong gamot para sa sipon? 🙏,VII,Siquijor
Sino gusto kumain ng lechon? 😀,VI,Antique
Naay tambal para sa sipon nga effective? 👍,NCR,Metro Manila
"Always asthmatic, any good medicine?",III,Tarlac
Naay tambal para sa sipon nga effective? 🤧,VII,Bohol
"Ubong sipon ako lagi, paano iiwasan ito? 🙄",IVB,Marinduque
I want to learn baking. 👌,CAR,Benguet
"Di ako makahinga, kailangan ko ng payo. 😀",III,Tarlac
"Sige ko ubo ug sipon, unsaon paglikay ani? 😴",X,Misamis Oriental
Nalingaw ko sa pagtan-aw sa salida. 🤔,III,Bulacan
"Hirap ako huminga, anong gamot ang pwede? 😢",VIII,Northern Samar
"Baka may COVID ako, hirap ako huminga. 👌",II,Nueva Vizcaya
Ganahan kaayo ko sa akong bag-ong sapatos. 😷,VI,Capiz
Gusto kong matuto mag painting. 👌,V,Albay
Paano maiiwasan ang hika? 😴,VIII,Leyte
"Ang akong apo sige sip-on, unsay buhaton? 😷",I,Pangasinan
Enjoy ako sa outing namin kahapon. 🙏,IVB,Palawan
I miss the province. 😎,V,Albay
Nindot kaayo ang view sa bukid.,III,Tarlac
Sino gusto kumain ng lechon? 😎,CAR,Mountain Province
Looking for advice on TB prevention. 🤧,VI,Iloilo
Unsa ang simptomas sa TB? 😢,CAR,Apayao
Anong gamot para sa sipon? 😜,II,Isabela
"Baka may COVID ako, hirap ako huminga. 😢",BARMM,Maguindanao del Norte
Need tips for managing chronic cough. 🙏,III,Tarlac
What's the symptoms of TB? 😷,X,Camiguin
Unsa ang simptomas sa TB? 😀,BARMM,Sulu
Sino gusto kumain ng lechon? 👍,V,Albay
May gamot ba sa hika na epektibo? 😷,VI,Guimaras
"Laging inuubo ang anak ko, anong pwedeng gawin? 😢",XIII,Surigao del Sur
Naay tambal para sa sipon nga effective? 😜,X,Lanao del Norte
Sino ang pwedeng lapitan para sa TB? 🤔,BARMM,Sulu
Masaya ang bakasyon namin sa beach. 🙄,BARMM,Sulu
I always jog in the morning. 🥳,XIII,Dinagat Islands
Nalingaw ko sa pagtan-aw sa salida. 😴,V,Camarines Norte
Masaya ang bakasyon namin sa beach. 👍,II,Isabela
Enjoy ako sa panonood ng sine. 👍,III,Zambales
Ano ang sintomas ng TB? 😀,XIII,Dinagat Islands
Ang sarap ng dinner namin kagabi. 💪,IVB,Oriental Mindoro
Kinsay ganahan mokaon ug lechon? 🤔,IVB,Marinduque
Nindot kaayo ang salida sa sinehan. 💪,VI,Antique
"Basin naay COVID, kay naglisud ko ug ginhawa. 👍",VIII,Leyte
"Hirap ako huminga, anong gamot ang pwede? 😷",VII,Siquijor
Gimingaw na ko sa probinsya. 😴,CAR,Kalinga
Miss ko na ang probinsya. 😴,BARMM,Maguindanao del Norte
May gamot ba sa hika na epektibo? 😴,VI,Negros Occidental
Any effective meds for colds? 👌,CAR,Abra
Sino gusto kumain ng lechon? 🥳,IVB,Romblon
Naa bay free check-up para sa mga naglisud ug ginhawa? 😜,II,Quirino
"Di ko kaginhawa, kinahanglan ko ug advice. 😢",NCR,Metro Manila
Ganahan kaayo ko sa akong bag-ong sapatos. 🤔,IVA,Cavite
"Constant cough and cold, how to avoid? 😢",XI,Davao del Norte
"Naglisud ko ug ginhawa, unsay maayo nga tambal? 😴",XIII,Dinagat Islands
Gusto kong matuto mag painting. 😜,IVB,Occidental Mindoro
"May hika anak ko, sino may kilalang magaling na doktor? 🤧",II,Isabela
"Might have COVID, struggling to breathe. 👌",XIII,Agusan del Norte
"Ang akong apo sige sip-on, unsay buhaton? 🙏",X,Bukidnon
Miss ko na ang probinsya. 💪,V,Albay
Naay bag-ong coffee shop duol namo. 💪,CAR,Kalinga
Anong gamot para sa sipon? 🤔,IVA,Laguna
"Gipanghapo akong anak, kinsay kahibaw unsay maayo nga doktor? 🤧",VIII,Leyte
"Di ako makahinga, kailangan ko ng payo. 😴",V,Catanduanes
"Ang bata ko laging inuubo, ano gagawin ko? 🙏",II,Quirino
I always jog in the morning. 😢,VIII,Leyte
Gimingaw na ko sa probinsya. 🥳,VI,Negros Occidental
Naa moy tambag para sa mga naa sa gipanghapo? 😜,VI,Antique
"May hika anak ko, sino may kilalang magaling na doktor? 👌",CAR,Benguet
Let's go on an outing soon. 🤧,CAR,Benguet
I want to learn painting.,VI,Guimaras
Naa moy tambag para sa mga naa sa gipanghapo? 😢,X,Misamis Occidental
Ano ang dapat gawin kung may hirap sa paghinga? 👍,IVB,Oriental Mindoro
There's a new coffee shop near us. 💪,BARMM,Sulu
Gusto kong matuto mag painting. 💪,VIII,Samar
May libreng check-up ba para sa hirap huminga? 👌,X,Camiguin
Nalingaw ko sa among outing gahapon. 🙏,I,Ilocos Sur
Masaya ang bakasyon namin sa beach. 🤧,III,Zambales
May libreng check-up ba para sa hirap huminga? 😎,BARMM,Maguindanao del Norte
Ang sarap ng dinner namin kagabi. 😎,II,Batanes
Unsa ang simptomas sa TB? 😷,IX,Zamboanga del Norte
Masaya ang bakasyon namin sa beach. 🤔,XIII,Dinagat Islands
Naay lain nga pamaagi para maagwanta ang ubo? 👌,XIII,Agusan del Sur
"Hirap ako huminga, anong gamot ang pwede? 👍",IX,Zamboanga Sibugay
Ano ang dapat gawin kung may hirap sa paghinga? 👌,BARMM,Maguindanao del Norte
Naay bag-ong coffee shop duol namo. 😀,VI,Negros Occidental
"Hirap ako huminga, anong gamot ang pwede? 🥳",VI,Negros Occidental
Need tips for managing chronic cough. 😎,XI,Davao Oriental
Ang ganda ng pelikula sa sinehan. 🤔,XIII,Agusan del Norte
"Laging inuubo ang anak ko, anong pwedeng gawin? 😜",V,Albay
Naay bag-ong coffee shop duol namo. 🤔,XIII,Dinagat Islands
Nalingaw ko sa pagtan-aw sa salida. 🤧,XIII,Dinagat Islands
Naay tambal para sa sipon nga effective? 🤔,I,La Union
"Laging inuubo ang anak ko, anong pwedeng gawin? 🙏",XII,Cotabato
May libreng check-up ba para sa hirap huminga? 😜,V,Albay
Mag outing tayo soon. 💪,VIII,Samar
Paano maiiwasan ang hika? 💪,XI,Davao de Oro
Nindot kaayo ang view sa bukid. 🥳,NCR,Metro Manila
"Sige ko ubo ug sipon, unsaon paglikay ani? 👍",VI,Antique
"Di ko kaginhawa, kinahanglan ko ug advice. 🤔",CAR,Mountain Province
Gimingaw na ko sa probinsya. 🙄,V,Albay
Let's go on an outing soon.,V,Camarines Norte
Ang sarap ng dinner namin kagabi. 😴,VI,Antique
Ano ang dapat gawin kung may hirap sa paghinga? 😀,VI,Guimaras
Naay bag-ong coffee shop duol namo. 😴,XI,Davao de Oro
May gamot ba sa hika na epektibo? 😜,XII,South Cotabato
Ano ang dapat gawin kung may hirap sa paghinga? 😜,II,Cagayan
Nalingaw ko sa among outing gahapon. 😎,VII,Bohol
Unsaon pagpakalma sa hika? 😎,V,Albay
"Di ko kaginhawa, kinahanglan ko ug advice. 😜",XI,Davao Oriental
"Gipanghapo akong anak, kinsay kahibaw unsay maayo nga doktor? 🥳",VIII,Biliran
"Baka may COVID ako, hirap ako huminga. 😎",VI,Antique
"Di ko kaginhawa, kinahanglan ko ug advice. 😎",XII,South Cotabato
"Naglisud ko ug ginhawa, unsay maayo nga tambal? 👍",CAR,Kalinga
Lagi akong nagjo-jogging tuwing umaga. 🤔,VII,Cebu
Kinsay ganahan mokaon ug lechon? 😢,IX,Zamboanga del Norte
Lingaw kaayo ang beach outing namo. 🙏,XI,Davao del Norte
"My child has asthma, anyone know a good doctor?",CAR,Abra
Kinsay ganahan mokaon ug lechon? 🙏,XI,Davao Occidental
Naa bay free check-up para sa mga naglisud ug ginhawa? 🙄,III,Tarlac
"Baka may COVID ako, hirap ako huminga. 🤧",II,Cagayan
Sino ang pwedeng lapitan para sa TB? 😴,VII,Negros Oriental
Pirmi ko mag jogging sa buntag. 😷,IVA,Quezon
Gusto kong matuto mag baking. 😷,II,Nueva Vizcaya
Gusto ko magpa-check up kay sige ko ginhawa ug bug-at. 🤔,II,Cagayan
Any free check-ups for breathing issues? 🙄,VIII,Leyte
Saan may libreng konsulta para sa may hika? 🤔,XI,Davao del Norte
Nalingaw ko sa among outing gahapon. 👍,V,Sorsogon
Naay bag-ong coffee shop duol namo. 🙄,VIII,Eastern Samar
Saan may libreng konsulta para sa may hika? 😴,BARMM,Maguindanao del Norte
Adto mi sa dagat karong weekend. ,BARMM,Sulu
Paano ba maalis ang ubo na ito? ,XII,Sarangani
Nakapagbakasyon kami sa Boracay. ,VI,Antique
Naglisod ko'g ginhawa karon adlawa. ,I,Pangasinan
Having trouble breathing today. ,V,Catanduanes
Sino may kilalang magaling na doktor para sa asthma? ,VIII,Eastern Samar
Paano ba maalis ang ubo na ito? ,VIII,Samar
Nakapagbakasyon kami sa Boracay. ,IVA,Laguna
Ubo ug sip-on na sad ning panahon. ,I,Ilocos Norte
Kinsay nakasuway ug asthma? ,XI,Davao de Oro
Paano ba maalis ang ubo na ito? ,V,Camarines Sur
Hirap huminga dahil sa sipon. ,V,Camarines Norte
Ubo ug sip-on na sad ning panahon. ,VII,Negros Oriental
Ubo ug sip-on na sad ning panahon. ,BARMM,Sulu
Drinking warm water helps soothe the throat. ,VII,Bohol
Sino may kilalang magaling na doktor para sa asthma? ,I,Ilocos Norte
Paano ba maalis ang ubo na ito? ,BARMM,Maguindanao del Sur
Hirap huminga dahil sa sipon. ,V,Sorsogon
Nindot kaayo ang salida sa sinehan. ,XII,Sultan Kudarat
Ang ganda ng tanawin sa Tagaytay. ,IVA,Batangas
Nag-enjoy kami sa bagong restaurant sa Makati. ,VI,Guimaras
Kinsay nakasuway ug asthma? ,X,Misamis Oriental
Naglisod ko'g ginhawa karon adlawa. ,NCR,Metro Manila
Paborito ko ang bagong pelikula ni Alden. ,IX,Zamboanga del Norte
Lami kaayo ang pagkaon sa Cebu. ,IVB,Marinduque
Naglisod ko'g ginhawa karon adlawa. ,VIII,Northern Samar
Going to the beach this weekend. ,BARMM,Lanao del Sur
Ang akong ubo wala pa gyud mawala. ,X,Misamis Occidental
Kinsay nakasuway ug asthma? ,X,Misamis Occidental
Nag-enjoy kami sa bagong restaurant sa Makati. ,BARMM,Sulu
Sino may kilalang magaling na doktor para sa asthma? ,XII,Sarangani
Paborito ko ang bagong pelikula ni Alden. ,IX,Zamboanga del Sur
Ang ganda ng tanawin sa Tagaytay. ,IVA,Quezon
Ubo ug sip-on na sad ning panahon. ,CAR,Abra
Ang ganda ng tanawin sa Tagaytay. ,VI,Negros Occidental
Naglisod ko'g ginhawa karon adlawa. ,I,La Union
Sino may kilalang magaling na doktor para sa asthma? ,III,Tarlac
Adto mi sa dagat karong weekend. ,IX,Zamboanga del Norte
Sino may kilalang magaling na doktor para sa asthma? ,IVB,Occidental Mindoro
Cough and cold season again. ,VIII,Southern Leyte
Sino may kilalang magaling na doktor para sa asthma? ,IVB,Palawan
Ubo ug sip-on na sad ning panahon. ,III,Zambales
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VII,Cebu
Naglisod ko'g ginhawa karon adlawa. ,IVA,Cavite
Nag-enjoy kami sa bagong restaurant sa Makati. ,IVA,Laguna
Nindot kaayo ang salida sa sinehan. ,X,Camiguin
Nag-enjoy kami sa bagong restaurant sa Makati. ,X,Misamis Oriental
Nag-enjoy kami sa bagong restaurant sa Makati. ,VI,Aklan
Adto mi sa dagat karong weekend. ,V,Albay
Adto mi sa dagat karong weekend. ,VI,Iloilo
Drinking warm water helps soothe the throat. ,XI,Davao Oriental
Inom ng maraming tubig para iwas sakit. ,XII,South Cotabato
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,III,Bataan
Ang ganda ng tanawin sa Tagaytay. ,XIII,Dinagat Islands
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VII,Negros Oriental
Nindot kaayo ang salida sa sinehan. ,XIII,Surigao del Norte
Hirap huminga dahil sa sipon. ,XII,Cotabato
Ang akong ubo wala pa gyud mawala. ,VII,Cebu
Kinsay nakasuway ug asthma? ,IVB,Occidental Mindoro
I just bought a new bag. ,IX,Zamboanga Sibugay
Ang akong ubo wala pa gyud mawala. ,XII,Cotabato
Nag-enjoy kami sa bagong restaurant sa Makati. ,XI,Davao de Oro
Kinsay nakasuway ug asthma? ,IVA,Quezon
Bag-o lang ko nagpalit ug bag. ,CAR,Mountain Province
Paborito ko ang bagong pelikula ni Alden. ,IVA,Batangas
Inom ng maraming tubig para iwas sakit. ,IVA,Laguna
The movie was really good. ,VIII,Biliran
Paano ba maalis ang ubo na ito? ,IVA,Batangas
Inom ng maraming tubig para iwas sakit. ,CAR,Abra
Laging masakit ang lalamunan ko. ,XII,Cotabato
Lami kaayo ang pagkaon sa Cebu. ,IVA,Laguna
Ubo ug sip-on na sad ning panahon. ,X,Camiguin
Laging masakit ang lalamunan ko. ,VI,Antique
Laging masakit ang lalamunan ko. ,VII,Bohol
Sino may kilalang magaling na doktor para sa asthma? ,XI,Davao Occidental
Kinsay ganahan muapil ug dance contest? ,NCR,Metro Manila
Ubo ug sip-on na sad ning panahon. ,I,La Union
Paborito ko ang bagong pelikula ni Alden. ,IVA,Quezon
Paano ba maalis ang ubo na ito? ,CAR,Abra
Ang akong ubo wala pa gyud mawala. ,V,Camarines Sur
Inom ng maraming tubig para iwas sakit. ,XI,Davao del Norte
Ubo ug sip-on na sad ning panahon. ,II,Batanes
Ubo ug sip-on na sad ning panahon. ,IVA,Quezon
Kinsay nakasuway ug asthma? ,IX,Zamboanga del Sur
Sino may kilalang magaling na doktor para sa asthma? ,I,Ilocos Sur
Naglisod ko'g ginhawa karon adlawa. ,II,Quirino
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VIII,Leyte
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Iloilo
Does anyone know a good doctor for asthma? ,XII,South Cotabato
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,III,Zambales
Laging masakit ang lalamunan ko. ,III,Bataan
Kinsay nakasuway ug asthma? ,I,Pangasinan
Hirap huminga dahil sa sipon. ,VIII,Samar
Hirap huminga dahil sa sipon. ,XI,Davao Occidental
Kinsay nakasuway ug asthma? ,IX,Zamboanga Sibugay
My cough just won't go away. ,IX,Zamboanga del Norte
Naglisod ko'g ginhawa karon adlawa. ,XI,Davao del Norte
Sino may kilalang magaling na doktor para sa asthma? ,XI,Davao de Oro
Bag-o lang ko nagpalit ug bag. ,XI,Davao Oriental
Hirap huminga dahil sa sipon. ,XI,Davao Oriental
Adto mi sa dagat karong weekend. ,XI,Davao de Oro
Ubo ug sip-on na sad ning panahon. ,VIII,Eastern Samar
Ang akong ubo wala pa gyud mawala. ,V,Catanduanes
Kinsay ganahan muapil ug dance contest? ,XII,South Cotabato
Ubo ug sip-on na sad ning panahon. ,VI,Capiz
Ubo ug sip-on na sad ning panahon. ,VI,Guimaras
Does anyone know a good doctor for asthma? ,XIII,Agusan del Sur
Does anyone know a good doctor for asthma? ,XIII,Dinagat Islands
Laging masakit ang lalamunan ko. ,II,Batanes
Ang akong ubo wala pa gyud mawala. ,VI,Guimaras
Naglisod ko'g ginhawa karon adlawa. ,VI,Aklan
Kinsay nakasuway ug asthma? ,BARMM,Lanao del Sur
Lami kaayo ang pagkaon sa Cebu. ,XII,Sarangani
Ang akong ubo wala pa gyud mawala. ,VI,Capiz
Kinsay ganahan muapil ug dance contest? ,BARMM,Maguindanao del Norte
Sino may kilalang magaling na doktor para sa asthma? ,IVA,Quezon
Naglisod ko'g ginhawa karon adlawa. ,X,Misamis Occidental
Laging masakit ang lalamunan ko. ,XII,Cotabato
Sarap mamasyal sa Baguio. ,BARMM,Basilan
Kinsay nakasuway ug asthma? ,VI,Capiz
Nindot kaayo ang salida sa sinehan. ,CAR,Kalinga
Naglisod ko'g ginhawa karon adlawa. ,II,Isabela
Sarap mamasyal sa Baguio. ,CAR,Abra
Nindot kaayo ang salida sa sinehan. ,NCR,Metro Manila
Hirap huminga dahil sa sipon. ,X,Misamis Oriental
Hirap huminga dahil sa sipon. ,NCR,Metro Manila
Kinsay nakasuway ug asthma? ,XIII,Agusan del Norte
Nakapagbakasyon kami sa Boracay. ,III,Pampanga
Inom ng maraming tubig para iwas sakit. ,VI,Antique
Ubo ug sip-on na sad ning panahon. ,IX,Zamboanga del Sur
Inom ng maraming tubig para iwas sakit. ,BARMM,Tawi-tawi
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Aklan
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Iloilo
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Iloilo
Ubo ug sip-on na sad ning panahon. ,V,Sorsogon
Inom ng maraming tubig para iwas sakit. ,IVB,Oriental Mindoro
Ubo ug sip-on na sad ning panahon. ,VIII,Southern Leyte
I love the food in Cebu. ,IVB,Palawan
Sarap mamasyal sa Baguio. ,X,Misamis Oriental
Kinsay nakasuway ug asthma? ,CAR,Abra
Ubo ug sip-on na sad ning panahon. ,III,Nueva Ecija
Nag-enjoy kami sa bagong restaurant sa Makati. ,VIII,Southern Leyte
Inom ng maraming tubig para iwas sakit. ,IVB,Marinduque
Ang akong ubo wala pa gyud mawala. ,XIII,Surigao del Norte
Paano ba maalis ang ubo na ito? ,IVA,Cavite
Hirap huminga dahil sa sipon. ,CAR,Kalinga
Hirap huminga dahil sa sipon. ,VIII,Southern Leyte
Laging masakit ang lalamunan ko. ,XIII,Surigao del Sur
Naglisod ko'g ginhawa karon adlawa. ,XIII,Agusan del Norte
Sino may kilalang magaling na doktor para sa asthma? ,XIII,Dinagat Islands
Paborito ko ang bagong pelikula ni Alden. ,II,Isabela
Naglisod ko'g ginhawa karon adlawa. ,XIII,Agusan del Norte
Naglisod ko'g ginhawa karon adlawa. ,NCR,Metro Manila
Drinking warm water helps soothe the throat. ,V,Albay
Laging masakit ang lalamunan ko. ,IVB,Romblon
Inom ng maraming tubig para iwas sakit. ,V,Camarines Norte
I just bought a new bag. ,VII,Negros Oriental
Kinsay nakasuway ug asthma? ,XI,Davao del Norte
My cough just won't go away. ,VIII,Northern Samar
Laging masakit ang lalamunan ko. ,VI,Negros Occidental
Bag-o lang ko nagpalit ug bag. ,III,Aurora
Ubo ug sip-on na sad ning panahon. ,XI,Davao Occidental
Having trouble breathing today. ,X,Camiguin
Hirap huminga dahil sa sipon. ,CAR,Abra
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Aklan
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,IX,Zamboanga del Norte
Laging masakit ang lalamunan ko. ,XI,Davao de Oro
Hirap huminga dahil sa sipon. ,VIII,Northern Samar
Kinsay nakasuway ug asthma? ,XIII,Surigao del Sur
Nakapagbakasyon kami sa Boracay. ,XIII,Surigao del Norte
Nindot kaayo ang salida sa sinehan. ,VIII,Leyte
Makapahawa sa kasakit sa tutunlan ang init nga tubig. ,VI,Aklan
My cough just won't go away. ,I,Ilocos Sur
Cough and cold season again. ,VI,Negros Occidental
Naglisod ko'g ginhawa karon adlawa. ,VI,Capiz
Laging masakit ang lalamunan ko. ,XII,Sarangani
Having trouble breathing today. ,I,Ilocos Norte
Naglisod ko'g ginhawa karon adlawa. ,X,Lanao del Norte
Nakapagbakasyon kami sa Boracay. ,IVA,Rizal
Paano ba maalis ang ubo na ito? ,VII,Cebu
Nag-enjoy kami sa bagong restaurant sa Makati. ,XI,Davao Oriental
Adto mi sa dagat karong weekend. ,VI,Guimaras
